Date,Close,High,Low,Open,Volume
2010-10-14,254.55319213867188,260.3632156012836,252.476426848607,259.5967930103125,2046012
2010-10-15,251.46275329589844,255.2948964181525,250.69633070745934,254.6520913497861,1881864
2010-10-18,251.73471069335938,252.6742007898364,245.77633741328046,252.6742007898364,2259724
2010-10-19,249.6826934814453,255.56686980969076,248.10038305920597,253.8609720373385,2636398
2010-10-20,248.0261993408203,254.4048604626954,245.82580141159374,249.68267715484185,2832382
2010-10-21,248.7184600830078,250.20187038171363,242.5870338663631,249.70740028214502,5213508
2010-10-22,244.4907684326172,250.42441015323456,243.27931054531197,249.70742240931412,1970030
2010-10-25,248.24867248535156,249.21289507970678,244.86156485242142,245.7516048702664,1439892
2010-10-26,243.32876586914062,248.8173875980748,242.63651067135424,248.8173875980748,2324328
2010-10-27,237.3950653076172,244.19402824550963,234.45296258211806,243.526490684511,3868890
2010-10-28,236.30723571777344,242.29032638738602,233.68655046837026,238.08733092964565,4832004
2010-10-29,229.5577392578125,237.34564317447496,224.9838909258044,236.35670299458133,3516424
2010-11-01,231.48619079589844,234.52717910963528,229.97806291942035,232.944883730877,2087664
2010-11-02,234.601318359375,236.05999593483205,230.17580543055286,232.82122318336724,2378894
2010-11-03,240.33717346191406,242.04310125344026,234.92273520495058,236.72754795727175,2306902
2010-11-04,242.43865966796875,244.91100991989595,239.57073941174457,240.90581458379663,2377498
2010-11-08,243.2545166015625,245.75158400463317,237.66699668385976,245.75158400463317,1788350
2010-11-09,243.4770965576172,244.71327192101901,240.3866581491126,243.77378166283987,1133080
2010-11-10,240.46075439453125,244.26817942152525,238.95262693411354,244.26817942152525,1604434
2010-11-11,241.622802734375,246.02358344950366,239.89215744606366,241.30140019883734,1683632
2010-11-12,236.3814239501953,241.77116008214944,233.5382208910578,238.82905696755174,2017484
2010-11-15,238.5570831298828,243.72428613023604,232.4009249334015,236.35668535779985,2052816
2010-11-16,238.5570831298828,240.60913083203374,233.909052559192,240.16411080229463,3338716
2010-11-18,238.45816040039062,241.2024628977591,229.92855279664414,238.33454289888704,2717396
2010-11-19,228.296875,237.76597538390047,226.096476789654,237.19733772764084,2561328
2010-11-22,238.0626220703125,239.1257297065257,228.93964321088652,231.41199356953538,1348430
2010-11-23,236.95008850097656,238.3098813364913,231.56035209909376,236.92535594085794,1792594
2010-11-24,235.2688751220703,239.81800622461117,233.38989471755974,238.2851458472313,1092366
2010-11-25,226.86288452148438,235.3677766028081,222.90712357017668,234.87330648389465,3025308
2010-11-26,227.95074462890625,234.1316216524666,215.0945204199007,227.45627446702142,1447472
2010-11-29,230.44775390625,231.41197651105725,222.53623334176942,228.197921281737,1100592
2010-11-30,235.71389770507812,237.34564296444685,224.98389072671526,229.90387415334428,1195616
2010-12-01,237.41981506347656,240.8069382602978,234.37882697203523,234.37882697203523,1712200
2010-12-02,241.5733642578125,243.27929215957766,236.87589825066618,239.32353131145445,1935408
2010-12-03,240.23829650878906,243.2792845476285,238.38403366924922,241.57335669923998,743470
2010-12-06,237.44451904296875,244.76266959276128,234.67548380330766,240.2382717485977,1403804
